#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
-8959142191217187008,0,0,0,0.00390625,0.0078125,-0.0429688
-8959142191208508008,0,0,0,0.00390625,-0.03125,0.0351562
-8959142191196174008,0,0,0,0.00390625,0.0078125,-0.00390625
-8959142191186074008,0,0,0,0.00390625,-0.03125,-0.00390625
-8959142191176987008,0,0,0,0.00390625,0.0078125,0.0351562
-8959142191168241008,0,0,0,0.00390625,0.0078125,-0.00390625
-8959142191159635008,0,0,0,0.00390625,0.0078125,-0.00390625
-8959142191151724008,0,0,0,0.00390625,0.0078125,-0.00390625
-8959142191145779008,0,0,0,-0.0351562,-0.03125,-0.00390625
-8959142191140561008,0,0,0,0.00390625,0.0078125,0.0351562
-8959142191133771008,0,0,0,-0.0351562,0.0078125,-0.00390625
-8959142191123424008,0,0,0,0.00390625,0.0078125,0.0351562
-8959142191114797008,0,0,0,-0.0351562,0.0078125,-0.00390625
-8959142191106948008,0,0,0,-0.0351562,0.0078125,-0.00390625
-8959142191100238008,0,0,0,-0.0351562,0.0078125,0.0351562
-8959142191092634008,0,0,0,0.00390625,0.0078125,-0.00390625
-8959142191084925008,0,0,0,0.00390625,0.0078125,-0.00390625
-8959142191076678008,0,0,0,0.00390625,0.0078125,-0.00390625
-8959142191070741008,0,0,0,0.00390625,0.0078125,0.0351562
-8959142191065849008,0,0,0,0.00390625,-0.03125,-0.00390625
-8959142191057093008,0,0,0,0.00390625,0.0078125,0.0351562
-8959142191048928008,0,0,0,0.0429688,0.0078125,-0.00390625
-8959142191038664008,0,0,0,0.00390625,0.0078125,-0.00390625
-8959142191026167008,0,0,0,0.00390625,0.0078125,-0.00390625
-8959142191016898008,0,0,0,0.00390625,0.0078125,0.0351562
-8959142191008282008,0,0,0,0.00390625,0.0078125,-0.0429688
-8959142190998223008,0,0,0,0.00390625,0.0078125,0.0351562
-8959142190990766008,0,0,0,0.00390625,0.0078125,0.0351562
-8959142190984822008,0,0,0,0.00390625,0.0078125,-0.0429688
-8959142190974106008,0,0,0,0.00390625,0.0078125,-0.0429688
-8959142190964606008,0,0,0,0.00390625,-0.0664062,0.0351562
-8959142190954979008,0,0,0,0.0429688,0.0859375,-0.00390625
-8959142190944132008,0,0,0,-0.0351562,-0.03125,-0.00390625
-8959142190933577008,0,0,0,-0.0351562,-0.03125,-0.00390625
-8959142190923374008,0,0,0,0.00390625,0.0078125,0.0273438
-8959142190914060008,0,0,0,-0.0351562,0.0078125,-0.0117188
-8959142190905794008,0,0,0,-0.0351562,0.0078125,-0.0117188
-8959142190898691008,0,0,0,0.00390625,-0.03125,-0.0117188
-8959142190885386008,0,0,0,0.00390625,-0.03125,-0.0117188
-8959142190877167008,0,0,0,0.00390625,-0.03125,-0.0117188
